time,cell_id,cell_type,substrate,fba_reaction,flux_lb,flux_value,concentration_mM
12,4,zone_2,glucose,r1032,-9.08992,4.11793e-12,4.994
12,4,zone_2,oxygen,r0855,-19.7368,-3.74346e-12,37.4963
12,1,zone_1,glucose,r1032,-9.08992,4.11793e-12,4.994
12,1,zone_1,oxygen,r0855,-19.7723,-3.74346e-12,43.4145
12,1,zone_1,glucose,r1032,-9.08992,4.11793e-12,4.994
12,1,zone_1,oxygen,r0855,-19.7723,-3.74346e-12,43.4145
12,5,zone_2,glucose,r1032,-9.08992,4.11793e-12,4.994
12,5,zone_2,oxygen,r0855,-19.7345,-3.74346e-12,37.1716
12,5,zone_2,glucose,r1032,-9.08992,4.11793e-12,4.994
12,5,zone_2,oxygen,r0855,-19.7345,-3.74346e-12,37.1716
12,2,zone_1,glucose,r1032,-9.08992,4.11793e-12,4.994
12,2,zone_1,oxygen,r0855,-19.7704,-3.74346e-12,43.0603
12,2,zone_1,glucose,r1032,-9.08992,4.11793e-12,4.994
12,2,zone_1,oxygen,r0855,-19.7704,-3.74346e-12,43.0603
12,6,zone_3,glucose,r1032,-9.08992,4.11793e-12,4.994
12,6,zone_3,oxygen,r0855,-19.6153,-3.74346e-12,25.4956
12,6,zone_3,glucose,r1032,-9.08992,4.11793e-12,4.994
12,6,zone_3,oxygen,r0855,-19.6153,-3.74346e-12,25.4956
12,3,zone_2,glucose,r1032,-9.08992,4.11793e-12,4.994
12,3,zone_2,oxygen,r0855,-19.7397,-3.74346e-12,37.923
12,3,zone_2,glucose,r1032,-9.08992,4.11793e-12,4.994
12,3,zone_2,oxygen,r0855,-19.7397,-3.74346e-12,37.923
12,7,zone_3,glucose,r1032,-9.08992,4.11793e-12,4.994
12,7,zone_3,oxygen,r0855,-19.6094,-3.74346e-12,25.1024
12,7,zone_3,glucose,r1032,-9.08992,4.11793e-12,4.994
12,7,zone_3,oxygen,r0855,-19.6094,-3.74346e-12,25.1024
14,0,zone_1,glucose,r1032,-9.08975,4.11793e-12,4.993
14,0,zone_1,oxygen,r0855,-19.7708,-3.74346e-12,43.1344
14,0,zone_1,glucose,r1032,-9.08975,4.11793e-12,4.993
14,0,zone_1,oxygen,r0855,-19.7708,-3.74346e-12,43.1344
14,8,zone_3,glucose,r1032,-9.08975,4.11793e-12,4.993
14,8,zone_3,oxygen,r0855,-19.6234,-3.74346e-12,26.0512
14,8,zone_3,glucose,r1032,-9.08975,4.11793e-12,4.993
14,8,zone_3,oxygen,r0855,-19.6234,-3.74346e-12,26.0512
14,1,zone_1,glucose,r1032,-9.08975,4.11793e-12,4.993
14,1,zone_1,oxygen,r0855,-19.7708,-3.74346e-12,43.1344
14,1,zone_1,glucose,r1032,-9.08975,4.11793e-12,4.993
14,1,zone_1,oxygen,r0855,-19.7708,-3.74346e-12,43.1344
14,4,zone_2,glucose,r1032,-9.08975,4.11793e-12,4.993
14,4,zone_2,oxygen,r0855,-19.7386,-3.74346e-12,37.7583
14,4,zone_2,glucose,r1032,-9.08975,4.11793e-12,4.993
14,4,zone_2,oxygen,r0855,-19.7386,-3.74346e-12,37.7583
14,2,zone_1,glucose,r1032,-9.08975,4.11793e-12,4.993
14,2,zone_1,oxygen,r0855,-19.769,-3.74346e-12,42.7931
14,2,zone_1,glucose,r1032,-9.08975,4.11793e-12,4.993
14,2,zone_1,oxygen,r0855,-19.769,-3.74346e-12,42.7931
14,5,zone_2,glucose,r1032,-9.08975,4.11793e-12,4.993
14,5,zone_2,oxygen,r0855,-19.7365,-3.74346e-12,37.4494
14,5,zone_2,glucose,r1032,-9.08975,4.11793e-12,4.993
14,5,zone_2,oxygen,r0855,-19.7365,-3.74346e-12,37.4494
14,3,zone_2,glucose,r1032,-9.08975,4.11793e-12,4.993
14,3,zone_2,oxygen,r0855,-19.7414,-3.74346e-12,38.1639
14,3,zone_2,glucose,r1032,-9.08975,4.11793e-12,4.993
14,3,zone_2,oxygen,r0855,-19.7414,-3.74346e-12,38.1639
14,6,zone_3,glucose,r1032,-9.08975,4.11793e-12,4.993
14,6,zone_3,oxygen,r0855,-19.6316,-3.74346e-12,26.644
14,6,zone_3,glucose,r1032,-9.08975,4.11793e-12,4.993
14,6,zone_3,oxygen,r0855,-19.6316,-3.74346e-12,26.644
14,7,zone_3,glucose,r1032,-9.08975,4.11793e-12,4.993
14,7,zone_3,oxygen,r0855,-19.6264,-3.74346e-12,26.2661
14,7,zone_3,glucose,r1032,-9.08975,4.11793e-12,4.993
14,7,zone_3,oxygen,r0855,-19.6264,-3.74346e-12,26.2661
16,4,zone_2,glucose,r1032,-9.08959,4.11793e-12,4.992
16,4,zone_2,oxygen,r0855,-19.7402,-3.74346e-12,37.9912
16,4,zone_2,glucose,r1032,-9.08959,4.11793e-12,4.992
16,4,zone_2,oxygen,r0855,-19.7402,-3.74346e-12,37.9912
16,8,zone_3,glucose,r1032,-9.08959,4.11793e-12,4.992
16,8,zone_3,oxygen,r0855,-19.6378,-3.74346e-12,27.1065
16,8,zone_3,glucose,r1032,-9.08959,4.11793e-12,4.992
16,8,zone_3,oxygen,r0855,-19.6378,-3.74346e-12,27.1065
16,0,zone_1,glucose,r1032,-9.08959,4.11793e-12,4.992
16,0,zone_1,oxygen,r0855,-19.7695,-3.74346e-12,42.8869
16,0,zone_1,glucose,r1032,-9.08959,4.11793e-12,4.992
